framework_id,name,tradition,key_principle,decision_method,lexical_indicators,computational_signature,historical_figure,modern_application
UTIL_ACT,Act Utilitarianism,consequentialism,Greatest good for greatest number,Calculate expected utility of each action,"maximize utility;greatest happiness;aggregate welfare;sum total;net positive;overall benefit","argmax(sum(utility_i * probability_i))","Jeremy Bentham,John Stuart Mill",Effective Altruism movement
UTIL_RULE,Rule Utilitarianism,consequentialism,Follow rules that generally maximize utility,Apply rules that typically produce best outcomes,"generally better;rule-following;typical outcomes;policy approach;systematic approach","if rule_utility(R) > threshold: follow(R)","R.M. Hare",Public policy frameworks
DEONT_KANT,Kantian Deontology,deontological,Categorical imperative and universal law,Test if action can be universal law,"universal law;categorical imperative;duty;obligation;never merely means;inherent dignity","if universalizable(action) and respects_dignity(action): permitted","Immanuel Kant",Human rights frameworks
DEONT_ROSS,Rossian Deontology,deontological,Prima facie duties with intuitive balancing,Balance competing prima facie duties,"prima facie;competing duties;moral intuition;promise-keeping;gratitude;non-maleficence","weight_duties([fidelity,reparation,gratitude,justice,beneficence,self_improvement,non_maleficence])","W.D. Ross",Professional ethics codes
VIRT_ARIST,Aristotelian Virtue Ethics,virtue_ethics,Golden mean and character excellence,What would virtuous person do,"virtue;character;golden mean;flourishing;excellence;role model;moral exemplar","emulate(virtuous_agent) + seek_mean(extremes)","Aristotle",Character education
VIRT_NEO,Neo-Aristotelian Virtue Ethics,virtue_ethics,Virtues relative to social practices,Virtues defined by community practices,"practices;community standards;tradition;narrative;social role;cultural virtue","virtue_in_context(practice,community,tradition)","Alasdair MacIntyre",Professional virtue ethics
CARE_GILL,Gilligan Care Ethics,care_ethics,Ethics of care and responsibility,Maintain relationships and respond to needs,"care;relationships;responsibility;context;particular;interdependence;voice","prioritize(relationships) + context_sensitive(response)","Carol Gilligan",Healthcare ethics
CARE_NEL,Noddings Care Ethics,care_ethics,Natural caring and ethical caring,One-caring attends to cared-for,"caring relation;attentiveness;responsibility;competence;responsiveness;natural caring","attend(cared_for) + respond(needs) + maintain(relation)","Nel Noddings",Education ethics
JUST_RAWLS,Rawlsian Justice,political_philosophy,Justice as fairness behind veil of ignorance,Choose principles behind veil of ignorance,"veil of ignorance;original position;justice as fairness;primary goods;difference principle","optimize(worst_off) subject_to equal_liberty","John Rawls",Institutional design
JUST_LIBERT,Libertarian Justice,political_philosophy,Individual liberty and property rights,Maximize individual freedom and property rights,"liberty;property rights;minimal state;non-aggression;voluntary exchange;self-ownership","maximize(individual_liberty) - minimize(state_intervention)","Robert Nozick",Tech platform governance
CONT_HOOF,Contractarian Ethics,social_contract,Mutual advantage through agreement,Choose what rational agents would agree to,"social contract;mutual advantage;rational agreement;collective benefit;negotiated solution","nash_equilibrium(moral_agreement)","David Gauthier",International relations
CONT_SCAN,Scanlonian Contractualism,social_contract,What no one could reasonably reject,Principles no one could reasonably reject,"reasonable rejection;justification;complaints;individual standpoint;generic reasons","minimize(max(individual_complaints))","T.M. Scanlon",Bioethics committees
PRAGMA_DEWEY,Deweyan Pragmatism,pragmatism,Intelligent inquiry and democratic deliberation,Experimental problem-solving with democratic input,"experimental;democratic;inquiry;consequences;adaptive;problem-solving;fallibilistic","iterative_experimentation + democratic_input + outcome_evaluation","John Dewey",Adaptive governance
PRAGMA_JAMES,Jamesian Pragmatism,pragmatism,Cash value of ideas in experience,What works in practice,"practical consequences;cash value;lived experience;workability;meliorism","if practical_success(idea): adopt(idea)","William James",Design thinking
COMMUN_SAND,Communitarian Ethics,communitarianism,Socially embedded selves and common good,Pursue shared vision of good life,"community;shared values;common good;social roles;tradition;narrative;embedded self","maximize(community_good) + preserve(tradition)","Michael Sandel",Cultural preservation
COMMUN_MAC,MacIntyrean Communitarianism,communitarianism,Virtues within social practices and traditions,Virtues as defined by practices and traditions,"practice;tradition;narrative unity;virtues;community standards;social roles","virtue_relative_to(practice,tradition,community)","Alasdair MacIntyre",Professional ethics
FEMIN_CARE,Feminist Care Ethics,feminism,Challenging masculine bias toward abstract principles,Context-sensitive care over abstract principles,"masculine bias;abstract principles;contextual;caring;relationships;gender;power","challenge(abstract_universalism) + prioritize(contextual_care)","Nel Noddings",Gender-inclusive AI
FEMIN_POWER,Feminist Power Analysis,feminism,Analyzing and challenging power structures,Examine how power structures affect moral reasoning,"power structures;oppression;privilege;intersectionality;voice;standpoint","analyze(power_dynamics) + amplify(marginalized_voices)","Miranda Fricker",Algorithmic fairness
POSTMOD_DERRI,Derridean Deconstruction,postmodernism,Deconstruct binary oppositions,Question fundamental categories and assumptions,"deconstruction;binary oppositions;différance;undecidability;aporia;questioning","deconstruct(binary_assumptions) + embrace(undecidability)","Jacques Derrida",AI interpretability
POSTMOD_FOUC,Foucauldian Genealogy,postmodernism,Genealogy of moral concepts,Trace historical construction of moral categories,"genealogy;power-knowledge;discourse;normalization;subjection;history","trace_genealogy(moral_concept) + reveal(power_relations)","Michel Foucault",Algorithmic governance
